game_id,game_date,attendance
22101084,2022-03-23,16290
22101093,2022-03-23,18997
22101097,2022-03-24,18018
22101098,2022-03-24,13973
22101099,2022-03-24,19520
22101096,2022-03-24,16205
22101095,2022-03-24,19800
22101105,2022-03-25,16947
22101103,2022-03-25,19600
22101104,2022-03-25,17136
22101102,2022-03-25,17724
22101100,2022-03-25,19162
22101106,2022-03-25,19068
22101101,2022-03-25,18943
22101112,2022-03-26,17794
22101111,2022-03-26,19600
22101109,2022-03-26,19800
22101107,2022-03-26,13097
22101110,2022-03-26,19432
22101108,2022-03-26,16366
22101113,2022-03-26,19520
22101114,2022-03-26,17821
22101117,2022-03-27,20476
22101116,2022-03-27,0
22101119,2022-03-27,18516
22101115,2022-03-27,19304
22101120,2022-03-27,18166
22101118,2022-03-27,17071
22101121,2022-03-27,20177
22101128,2022-03-28,18055
22101127,2022-03-28,19800
22101122,2022-03-28,17614
22101123,2022-03-28,0
22101125,2022-03-28,19600
22101126,2022-03-28,19812
22101129,2022-03-28,17011
22101124,2022-03-28,14212
22101130,2022-03-28,18188
22101133,2022-03-29,17559
22101131,2022-03-29,21467
22101132,2022-03-29,15922
22101134,2022-03-29,20382
22101135,2022-03-29,19068
22101137,2022-03-30,0
22101136,2022-03-30,19432
22101142,2022-03-30,13365
22101144,2022-03-30,15821
22101146,2022-03-30,18551
22101145,2022-03-30,18064
22101143,2022-03-30,15595
22101140,2022-03-30,19812
22101139,2022-03-30,19156
22101141,2022-03-30,0
22101138,2022-03-30,16455
22101147,2022-03-31,20023
22101148,2022-03-31,17917
22101149,2022-03-31,0
22101150,2022-03-31,18306
22100452,2022-03-31,17491
22101160,2022-04-01,18997
22101151,2022-04-01,17566
22101157,2022-04-01,0
22101159,2022-04-01,0
22101158,2022-04-01,17512
22101155,2022-04-01,17794
22101154,2022-04-01,0
22101156,2022-04-01,18023
22101153,2022-04-01,19156
22101152,2022-04-01,17745
22101163,2022-04-02,18126
22101162,2022-04-02,19812
22101164,2022-04-02,21697
22101161,2022-04-02,21509
22101165,2022-04-02,18064
22101170,2022-04-03,19432
22101166,2022-04-03,19156
22101167,2022-04-03,17902
22101174,2022-04-03,17078
22101173,2022-04-03,16539
22101176,2022-04-03,17583
22101168,2022-04-03,18997
22101175,2022-04-03,15816
22101169,2022-04-03,17407
22101172,2022-04-03,19800
22101177,2022-04-03,16840
22101171,2022-04-03,15747
22101182,2022-04-05,19800
22101189,2022-04-05,17071
22101179,2022-04-05,16897
22101180,2022-04-05,17768
22101181,2022-04-05,19600
22101185,2022-04-05,14674
22101184,2022-04-05,17136
22101183,2022-04-05,20799
22101186,2022-04-05,17037
22101187,2022-04-05,18306
22101188,2022-04-05,16047
22101178,2022-04-05,15583
22101195,2022-04-06,19068
22101190,2022-04-06,18422
22101192,2022-04-06,17381
22101194,2022-04-06,18306
22101191,2022-04-06,19812
22101193,2022-04-06,21095
22101198,2022-04-07,18046
22101197,2022-04-07,19800
22101202,2022-04-07,18064
22101201,2022-04-07,0
22101199,2022-04-07,17136
22101200,2022-04-07,12432
22101196,2022-04-07,0
22101206,2022-04-08,19800
22101205,2022-04-08,18169
22101204,2022-04-08,0
22101211,2022-04-08,18997
22101210,2022-04-08,18306
22101209,2022-04-08,20174
22101203,2022-04-08,22088
22101208,2022-04-08,21461
22101207,2022-04-08,19993
22101213,2022-04-09,17207
22101214,2022-04-09,21171
22101215,2022-04-09,18627
22101212,2022-04-09,17568
22101230,2022-04-10,18123
